Tempo (ms);m1
3467;408.61512369749
3500;390.996894604834
3533;371.871381560265
3567;351.547071768174
3600;330.358074936346
3633;308.660555846823
3667;286.823253547506
3700;265.216967525736
3733;244.206340503424
3767;224.130882746016
3800;205.279559235702
3833;187.881989098297
3867;172.127647775188
3900;158.182881404048
3933;146.181806054231
3967;136.234413512478
4000;128.465506244669
4033;123.021550306369
4067;120.031551333679
4100;119.570096223176
4133;121.639739589681
4167;126.179884467708
4200;133.100864985687
4233;142.301005205747
4267;153.661263364049
4300;167.046273427676
4333;182.310491162402
4367;199.294544697807
4400;217.799137055008
4433;237.558037360459
4467;258.251150609879
4500;279.540689481773
4533;301.088226518237
4567;322.562191999202
4600;343.645691615219
4633;364.021748991578
4667;383.360170535508
4700;401.345208972011
4733;417.702936033103
4767;432.186591139096
4800;444.554845100785
4833;454.573647097742
4867;462.037981880178
4900;466.808193846549
4933;468.836267347566
4967;468.151431480001
5000;464.813747453908
5033;458.883454210392
5067;450.431668333838
5100;439.567181222316
5133;426.452398408682
5167;411.294466734091
5200;394.324564154497
5233;375.804076360114
5267;356.043876705618
5300;335.388370396968
5333;314.17605112134
5367;292.731759761465
5400;271.396145091518
5433;250.534660613644
5467;230.500694703813
5500;211.590463370723
5533;194.027811775925
5567;177.989404095826
5600;163.640253294792
5633;151.140381279276
5667;140.634329538998
5700;132.251908485667
5733;126.118036013262
5767;122.355482730163
5800;121.065745258758
5833;122.290830918936
5867;125.99366251683
5900;132.083897080049
5933;140.459204301049
5967;151.023150650439
6000;163.676563117484
6033;178.295654821229
6067;194.710389525014
6100;212.698923637083
6133;232.002641436786
6167;252.340128937063
6200;273.403773933662
6233;294.85833109392
6267;316.363083926269
6300;337.593409960037
6333;358.223530440998
6367;377.896400268154
6400;396.237719794358
6433;412.907721206428
6467;427.637696077476
6500;440.22831360669
6533;450.528612751057
6567;458.422121895184
6600;463.823048069485
6633;466.664769437131
6667;466.891521071742
6700;464.477119045309
6733;459.44450026206
6767;451.85711417243
6800;441.811817712198
6833;429.456920188643
6867;415.006207804818
6900;398.730303786779
6933;380.931923978921
6967;361.905537863307
7000;341.910608184438
7033;321.20349069435
7067;300.093905483836
7100;278.943175441977
7133;258.114566253782
7167;237.945762311416
7200;218.747490656409
7233;200.802509966474
7267;184.358883646356
7300;169.615158383597
7333;156.715187588491
7367;145.774931931644
7400;136.920840240212
7433;130.292214403751
7467;126.009325886068
7500;124.155505785558
7533;124.774339729326
7567;127.856182706614
7600;133.341586748097
7633;141.15784415906
7667;151.230409354757
7700;163.447219071933
7733;177.635111126623
7767;193.577838590007
7800;211.047036789389
7833;229.807714999461
7867;249.59551496525
7900;270.112403982729
7933;291.057099693019
7967;312.145378002627
8000;333.093338682667
8033;353.584641739241
8067;373.258513860594
8100;391.740755344352
8133;408.69498157168
8167;423.841758990663
8200;436.939751457967
8233;447.780577781563
8267;456.210338800822
8300;462.138631386272
8333;465.522791253787
8367;466.339993276249
8400;464.569833365765
8433;460.206322459844
8467;453.284391843441
8500;443.904004180045
8533;432.230916279773
8567;418.462975594558
8600;402.806990857523
8633;385.489452261905
8667;366.774496451901
8700;346.976205240575
8733;326.448412174628
8767;305.547088485007
8800;284.603985916496
8833;263.931999381506
8867;243.836393836144
8900;224.608908224575
8933;206.515652382876
8967;189.791427039385
9000;174.639689679955
9033;161.240765598508
9067;149.758619587379
9100;140.33977735488
9133;133.116236978575
9167;128.209978803454
9200;125.722660145769
9233;125.712319838525
9267;128.177681646605
9300;133.059305222004
9333;140.257371386877
9367;149.65626858153
9400;161.135077206315
9433;174.562056848192
9467;189.78861093885
9500;206.643406027289
9533;224.913653526358
9567;244.335719408595
9600;264.620982743186
9633;285.468072389468
9667;306.533662902356
9700;327.432558989656
9733;347.791943475557
9767;367.291961683662
9800;385.657852609994
9833;402.629362212856
9867;417.943443958546
9900;431.346231029457
9933;442.617446544163
9967;451.589353601281
10000;458.154312565346
10033;462.249429822845
10067;463.832529799078
10100;462.874012741645
10133;459.354267873327
10167;453.270670835551
10200;444.671407463359
10233;433.682167847857
10267;420.487771674231
10300;405.303317218415
10333;388.376564347926
10367;369.994300603369
10400;350.478521280837
10433;330.185384806272
10467;309.4833675645
10500;288.716296363874
10533;268.187530455924
10567;248.170856222344
10600;228.941048392054
10633;210.788476391732
10667;193.98423980319
10700;178.742421020156
10733;165.22687989515
10767;153.574703077938
10800;143.914260242093
10833;136.375768404019
10867;131.078839552898
10900;128.114188248648
10933;127.537028679509
10967;129.360945794465
11000;133.562023804089
11033;140.091807095381
11067;148.870220039911
11100;159.765259544842
11133;172.601310344609
11167;187.194554380411
11200;203.371668037526
11233;220.962770193196
11267;239.775369935263
11300;259.556441976718
11333;279.984081449782
11367;300.703098453333
11400;321.361760711415
11433;341.627835910658
11467;361.194877320892
11500;379.772060409765
11533;397.064679411886
11567;412.782104170711
11600;426.660475066678
11633;438.470414032558
11667;448.025538672328
11700;455.187715556916
11733;459.860343018797
11767;461.987073370851
11800;461.55170650929
11833;458.570517180719
11867;453.08014510772
11900;445.135842497077
11933;434.830948638259
11967;422.313409556611
12000;407.787119013493
12033;391.511565915355
12067;373.790814413585
12100;354.937455283877
12133;335.240287526388
12167;314.977413141986
12200;294.452902611754
12233;274.005063672322
12267;253.981569342631
12300;234.705681743717
12333;216.456349628845
12367;199.470684587989
12400;183.949755201093
12433;170.054101428788
12467;157.911655398392
12500;147.64851222652
12533;139.409263093411
12567;133.351645119892
12600;129.630814462259
12633;128.370921582408
12667;129.622635150935
12700;133.341252919043
12733;139.411057142686
12767;147.686847360415
12800;158.016454160482
12833;170.245536074063
12867;184.22368480197
12900;199.814875363391
12933;216.883366473088
12967;235.242308586679
13000;254.616892908326
13033;274.67720475779
13067;295.107036693728
13100;315.618204506513
13133;335.902617860613
13167;355.60881645949
13200;374.380854489056
13233;391.903657805616
13267;407.900999815964
13300;422.110206323674
13333;434.284865650757
13367;444.224844688691
13400;451.798159821065
13433;456.931430715954
13467;459.586883177213
13500;459.751836936431
13533;457.429425787543
13567;452.632828149185
13600;445.39882138487
13633;435.80203057042
13667;423.96436227411
13700;410.065799537909
13733;394.341319609975
13767;377.073784363799
13800;358.585935483405
13833;339.213842491202
13867;319.287567341941
13900;299.125736351056
13933;279.01942800344
13967;259.230670699582
14000;240.016627484985
14033;221.645368692004
14067;204.387438643756
14100;188.483864430902
14133;174.123095075619
14167;161.460985392276
14200;150.65845945704
14233;141.900045729501
14267;135.374028608594
14300;131.22572896218
14333;129.526429073236
14367;130.272066691701
14400;133.402109052879
14433;138.821956750426
14467;146.419123271891
14500;156.083795955737
14533;167.715201713846
14567;181.19650486391
14600;196.368639953914
14633;213.034047254086
14667;230.976802493631
14700;249.958895619632
14733;269.704288150208
14767;289.900849495193
14800;310.206013636041
14833;330.26220719365
14867;349.730942680152
14900;368.308084094168
14933;385.714264727807
14967;401.699088943014
15000;416.045736625812
15033;428.543450431335
15067;438.971991597911
15100;447.139012273308
15133;452.914298844634
15167;456.219583912993
15200;457.023123407824
15233;455.348522401722
15267;451.253687345865
15300;444.795561255505
15333;436.023724516533
15367;425.010554912598
15400;411.892461641216
15433;396.879255296036
15467;380.231425431573
15500;362.244873778487
15533;343.243907359356
15567;323.562928042107
15600;303.525951754926
15633;283.447300427564
15667;263.64484662255
15700;244.426413255331
15733;226.059252221589
15767;208.765875162535
15800;192.744573292826
15833;178.185822271145
15867;165.275651791865
15900;154.194521031013
15933;145.105196583982
15967;138.14029960771
16000;133.417109527537
16033;131.045732011608
16067;131.100387729446
16100;133.590276148294
16133;138.454252106192
16167;145.578038973414
16200;154.824005666813
16233;166.053559019649
16267;179.126175281966
16300;193.876974275586
16333;210.107244475159
16367;227.592367535202
16400;246.083769333858
16433;265.316859849096
16467;285.023409661793
16500;304.932983846588
16533;324.76495043957
16567;344.213215322544
16600;362.942940099665
16633;380.620038223553
16667;396.948453856245
16700;411.675253791393
16733;424.569152619681
16767;435.405120175238
16800;443.98301046679
16833;450.173473787587
16867;453.933918303653
16900;455.263410138378
16933;454.152967667265
16967;450.597331234864
17000;444.636122101705
17033;436.359428137573
17067;425.889215250897
17100;413.37406347001
17133;398.997679356807
17167;382.981900862604
17200;365.577190743044
17233;347.06152160655
17267;327.748767983487
17300;307.972689696315
17333;288.057421623627
17367;268.314438530298
17400;249.05738665065
17433;230.595717639521
17467;213.2015719546
17500;197.093463922686
17533;182.451091463269
17567;169.432754462335
17600;158.187869114349
17633;148.860482114015
17667;141.581658814051
17700;136.465384095833
17733;133.607635417018
17767;133.074522238123
17800;134.884563250001
17833;139.010062835804
17867;145.395285632794
17900;153.962244680061
17933;164.595047109291
17967;177.128682318949
18000;191.371604616287
18033;207.132792082675
18067;224.212763469005
18100;242.383499856284
18133;261.382920538743
18167;280.920328254281
18200;300.69275756716
18233;320.399130430401
18267;339.741214521354
18300;358.417203161255
18333;376.113598604767
18367;392.516460130055
18400;407.34680385518
18433;420.377296492731
18467;431.41755968566
18500;440.313433979571
18533;446.966760075551
18567;451.329387803515
18600;453.368359703062
18633;453.041936741133
18667;450.307064280482
18700;445.146612518947
18733;437.588249399991
18767;427.715668707525
18800;415.683825003917
18833;401.712148842058
18867;386.054547581106
18900;368.984664201125
18933;350.796987188909
18967;331.805832247885
19000;312.338003626846
19033;292.712701836733
19067;273.217508887956
19100;254.105974818624
19133;235.628196418772
19167;218.060786726813
19200;201.689086910091
19233;186.758173906544
19267;173.455615323238
19300;161.942524289381
19333;152.375488450556
19367;144.883668654102
19400;139.547265300946
19433;136.409274306837
19467;135.493175250024
19500;136.804403124358
19533;140.328947267393
19567;146.044761549833
19600;153.916096219872
19633;163.859048141059
19667;175.732017423752
19700;189.360224641423
19733;204.546278587209
19767;221.072495516451
19800;238.719149800311
19833;257.261099994653
19867;276.439342234902
19900;295.968496393978
19933;315.562818830552
19967;334.919173396256
20000;353.693925393859
20033;371.52756778161
20067;388.092762214519
20100;403.127219505158
20133;416.427406342693
20167;427.805981686242
20200;437.072708642349
20233;444.076943796742
20267;448.751960685083
20300;451.098900427698
20333;451.136736016502
20367;448.868611594707
20400;444.279565995278
20433;437.364511320222
20467;428.169475530166
20500;416.812179416313
20533;403.475895476883
20567;388.395149061286
20600;371.843840440335
20633;354.129408103407
20667;335.575632656091
20700;316.489473437437
20733;297.153159942769
20767;277.850789377389
20800;258.876982143078
20833;240.50888804547
20867;222.986880111826
20900;206.5338503457
20933;191.381785042455
20967;177.761582240678
21000;165.877066008033
21033;155.899932059866
21067;147.960666134039
21100;142.130691269409
21133;138.44289531024
21167;136.93888429501
21200;137.673273252287
21233;140.671731210243
21267;145.902887136423
21300;153.277951647004
21333;162.665244154555
21367;173.928599382524
21400;186.955585582786
21433;201.628695188803
21467;217.772623243058
21500;235.142302364165
21533;253.456190299621
21567;272.422811171997
21600;291.746514234578
21633;311.132417749082
21667;330.279245303301
21700;348.881116596695
21733;366.658695380223
21767;383.360192501458
21800;398.720392727486
21833;412.458736125402
21867;424.33107598146
21900;434.154640113382
21933;441.788594289666
21967;447.126065418949
22000;450.098737300399
22033;450.675170774785
22067;448.861791742508
22100;444.694559205046
22133;438.221175571179
22167;429.501991168868
22200;418.63849597447
22233;405.803743774436
22267;391.229942829269
22300;375.16630900397
22333;357.875917594004
22367;339.655385254898
22400;320.812554313065
22433;301.631720496744
22467;282.385390939332
22500;263.371598573685
22533;244.909506436074
22567;227.290199170532
22600;210.757876883624
22633;195.53321066485
22667;181.815440754883
22700;169.768336326148
22733;159.529363596601
22767;151.220730570766
22800;144.945048524467
22833;140.782823849442
22867;138.795047069483
22900;139.020875520671
22933;141.463501582728
22967;146.076514595714
23000;152.782320087068
